id,term,translation,kanji,type,notes,created_date,updated_date
1,Dōjō,Training Hall,道場,GENERAL,,02/02/20 06:52 PM,02/02/20 06:52 PM
2,Sensei,Instructor,先生,GENERAL,,02/02/20 06:52 PM,02/02/20 06:52 PM
3,Senpai,Senior Student; Mentor,先輩,GENERAL,,02/02/20 06:52 PM,02/02/20 06:52 PM
4,Kōhai,Junior Student; Mentee,後輩,GENERAL,,02/02/20 06:52 PM,02/02/20 06:52 PM
5,Rei,Bow,礼,GENERAL,,02/02/20 06:52 PM,02/02/20 06:52 PM
6,Migi,Right,右,GENERAL,,02/02/20 06:52 PM,02/02/20 06:52 PM
7,Kamae,Base; Posture; Waiting or,構え,GENERAL,,02/02/20 06:52 PM,02/02/20 06:52 PM
8,Mawatte,Turn,回って,GENERAL,,02/02/20 06:52 PM,02/02/20 06:52 PM
9,Gi,Karate uniform,着; 衣,GENERAL,"""This is usually short for """"karate-gi""""""",02/02/20 06:52 PM,02/02/20 06:52 PM
10,Kime,Focus,決め,GENERAL,,02/02/20 06:52 PM,02/02/20 06:52 PM
11,Kihon,Basic techniques; Fundame,基本,GENERAL,,02/02/20 06:52 PM,02/02/20 06:52 PM
12,Kumite,Sparring,組手,GENERAL,,02/02/20 06:52 PM,02/02/20 06:52 PM
13,Jōdan,Upper Level,上段,GENERAL,,02/02/20 06:52 PM,02/02/20 06:52 PM
14,Chūdan,Middle body,中段,GENERAL,,02/02/20 06:52 PM,02/02/20 06:52 PM
15,Gedan,Lower body,下段,GENERAL,,02/02/20 06:52 PM,02/02/20 06:52 PM
16,Dojo Kun,Dojo code,道場訓,GENERAL,,02/02/20 06:52 PM,02/02/20 06:52 PM
17,Seiza,Proper sitting,正座,GENERAL,,02/02/20 06:52 PM,02/02/20 06:52 PM
18,Yoi,Ready,用意,GENERAL,,02/02/20 06:52 PM,02/02/20 06:52 PM
19,Hidari,Left,左,GENERAL,,02/02/20 06:52 PM,02/02/20 06:52 PM
20,Hajime,Start/begin,初め; 始め,GENERAL,,02/02/20 06:52 PM,02/02/20 06:52 PM
21,Yame,Finish/stop,止め,GENERAL,,02/02/20 06:52 PM,02/02/20 06:52 PM
22,Obi,Belt; Sash,帯,GENERAL,,02/02/20 06:52 PM,02/02/20 06:52 PM
23,Kiai,Martial shout,気合,GENERAL,,02/02/20 06:52 PM,02/02/20 06:52 PM
24,Kata,Form,型; 形,GENERAL,,02/02/20 06:52 PM,02/02/20 06:52 PM
25,Zanshin,Martial state of mind; Aw,残心,GENERAL,,02/02/20 06:52 PM,02/02/20 06:52 PM
26,Osu,Respectful greeting;,押忍,GENERAL,"""Also spelled """"Oss""""; multiple meanings depending on the context, usually with the connotation of """"I acknowledge"""". Use osu only when acknowledging another person (not for bowing to shomen).<sup><a href=""""#"""" data-toggle=""""popover"""" data-title=""""<a href='/library/person/32'>Richard Amos</a>"""" data-content=""""<a href='/library/org/8'>WTKO</a>"""">RA</a></sup> """,02/02/20 06:52 PM,02/02/20 06:52 PM
27,Dan,Level; Grade; Rank,段,GENERAL,,02/02/20 06:52 PM,02/02/20 06:52 PM
28,Heikō-dachi,Parallel stance,平行立,TACHI,"Feet shoulder width, outer edges parallel",02/02/20 06:52 PM,02/02/20 06:52 PM
29,Musubi-dachi,Connected stance,結び立,TACHI,Toes at 45 degrees,02/02/20 06:52 PM,02/02/20 06:52 PM
30,Kiba-dachi,Horse-riding stance,騎馬立,TACHI,,02/02/20 06:52 PM,02/02/20 06:52 PM
31,Kōkutsu-dachi,Back stance,閉足立,TACHI,,02/02/20 06:52 PM,02/02/20 06:52 PM
32,Heisoku-dachi,Feet together stance,閉足立,TACHI,,02/02/20 06:52 PM,02/02/20 06:52 PM
33,Zenkutsu-dachi,Front stance,前屈立,TACHI,,02/02/20 06:52 PM,02/02/20 06:52 PM
34,Shiko-dachi,Square stance,四股立,TACHI,Kiba-dachi with toes at 45 degrees ,02/02/20 06:52 PM,02/02/20 06:52 PM
35,Hachiji-dachi,Character 8 stance,八字立,TACHI,Used interchangeably with Shizentai; natural stance; feet shoulder width; toes at 45 degrees; shaped like number eight (八).,02/02/20 06:52 PM,02/02/20 06:52 PM
36,Shizentai,Natural stance,自然体,TACHI,Used interchangeably with Hachiji-dachi,02/02/20 06:52 PM,02/02/20 06:52 PM
37,Nekoashi-dachi,Cat foot stance,猫足立,TACHI,,02/02/20 06:52 PM,02/02/20 06:52 PM
38,Fudō-dachi,Immovable stance,不動立,TACHI,Used interchangeably with Sōchin-dachi,02/02/20 06:52 PM,02/02/20 06:52 PM
