id,name,kanji,creator_person_id,history,created_date,updated_date
1,Taikyoku Shodan,太極初段,,,05/03/20 11:01 AM,05/03/20 11:01 AM
2,Heian Shodan,平安初段,,"Chiang Nanis the source of the two Channan kata. He was a diplomat sent from Fukienprovince in China out to Okinawa. While living there, he taught Matsumura Sokon twokata. Matsumura taught them as Channan Sho and Channan Dai, but changed the nameto Ping An. Eventually, they were broken up into five kata called the Pinan by ItosuYasutsune. We know them today in Shotokan as the Heian and teach them as basic kata. Internet: Shito-Kai.com. Others disagree about the existence of Ch'ang An, and think that this is actually the nameof a city, perhaps a one-time capital of China. everything above:redmond 21",05/03/20 11:01 AM,05/03/20 11:01 AM
3,Heian Nidan,平安二段,,"Chiang Nanis the source of the two Channan kata. He was a diplomat sent from Fukienprovince in China out to Okinawa. While living there, he taught Matsumura Sokon twokata. Matsumura taught them as Channan Sho and Channan Dai, but changed the nameto Ping An. Eventually, they were broken up into five kata called the Pinan by ItosuYasutsune. We know them today in Shotokan as the Heian and teach them as basic kata. Internet: Shito-Kai.com. Others disagree about the existence of Ch'ang An, and think that this is actually the nameof a city, perhaps a one-time capital of China. everything above:redmond 21",05/03/20 11:01 AM,05/03/20 11:01 AM
4,Heian Sandan,平安三段,,"Chiang Nanis the source of the two Channan kata. He was a diplomat sent from Fukienprovince in China out to Okinawa. While living there, he taught Matsumura Sokon twokata. Matsumura taught them as Channan Sho and Channan Dai, but changed the nameto Ping An. Eventually, they were broken up into five kata called the Pinan by ItosuYasutsune. We know them today in Shotokan as the Heian and teach them as basic kata. Internet: Shito-Kai.com. Others disagree about the existence of Ch'ang An, and think that this is actually the nameof a city, perhaps a one-time capital of China. everything above:redmond 21",05/03/20 11:01 AM,05/03/20 11:01 AM
5,Heian Yondan,平安四段,,"Chiang Nanis the source of the two Channan kata. He was a diplomat sent from Fukienprovince in China out to Okinawa. While living there, he taught Matsumura Sokon twokata. Matsumura taught them as Channan Sho and Channan Dai, but changed the nameto Ping An. Eventually, they were broken up into five kata called the Pinan by ItosuYasutsune. We know them today in Shotokan as the Heian and teach them as basic kata. Internet: Shito-Kai.com. Others disagree about the existence of Ch'ang An, and think that this is actually the nameof a city, perhaps a one-time capital of China. everything above:redmond 21",05/03/20 11:01 AM,05/03/20 11:01 AM
6,Heian Godan,平安五段,,"Chiang Nanis the source of the two Channan kata. He was a diplomat sent from Fukienprovince in China out to Okinawa. While living there, he taught Matsumura Sokon twokata. Matsumura taught them as Channan Sho and Channan Dai, but changed the nameto Ping An. Eventually, they were broken up into five kata called the Pinan by ItosuYasutsune. We know them today in Shotokan as the Heian and teach them as basic kata. Internet: Shito-Kai.com. Others disagree about the existence of Ch'ang An, and think that this is actually the nameof a city, perhaps a one-time capital of China. everything above:redmond 21",05/03/20 11:01 AM,05/03/20 11:01 AM
7,Tekki Shodan,鉄騎初段,,"Ason. Very little is known about this man, but he is credited with teaching the Naifanchikata to a famous Okinawan. Some believe that the kata was originally one single unit, buthas since been broken into two parts, had a third part added, and is now called Tekki inShotokan. Ason taught in Fuzhou, China. The Okinawans that studied under himtraveled there to learn. Redmond 21",05/03/20 11:01 AM,05/03/20 11:01 AM
8,Tekki Nidan,鉄騎二段,,"Ason. Very little is known about this man, but he is credited with teaching the Naifanchikata to a famous Okinawan. Some believe that the kata was originally one single unit, buthas since been broken into two parts, had a third part added, and is now called Tekki inShotokan. Ason taught in Fuzhou, China. The Okinawans that studied under himtraveled there to learn. Redmond 21",05/03/20 11:01 AM,05/03/20 11:01 AM
9,Tekki Sandan,鉄騎三段,,"Ason. Very little is known about this man, but he is credited with teaching the Naifanchikata to a famous Okinawan. Some believe that the kata was originally one single unit, buthas since been broken into two parts, had a third part added, and is now called Tekki inShotokan. Ason taught in Fuzhou, China. The Okinawans that studied under himtraveled there to learn. Redmond 21",05/03/20 11:01 AM,05/03/20 11:01 AM
10,Bassai Dai,披塞大,,,05/03/20 11:01 AM,05/03/20 11:01 AM
