id,title,author_person_id,publisher,format,year,store_link,cover_link,created_date,updated_date,,,
1,Karate-Do: My Way of Life,1,Kodansha,BOOK,1975-01-01,http://www.amazon.com/gp/product/1568364989/ref=as,http://ecx.images-amazon.com/images/I/51DrRE5sZ%2B,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
2,Karate-Do Kyohan: The Master Text,1,Kodansha,BOOK,1973-01-01,http://www.amazon.com/gp/product/1568364822/ref=as,http://ecx.images-amazon.com/images/I/41%2BpQqQXAD,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
3,The Essence of Karate,1,Kodansha,BOOK,2013-01-01,http://www.amazon.com/gp/product/1568365241/ref=as,http://d.gr-assets.com/books/1347490493l/8491228.j,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
4,The Twenty Guiding Principles of Karate,1,Kodansha,BOOK,2003-01-01,http://www.amazon.com/gp/product/1568364962/ref=as,http://ecx.images-amazon.com/images/I/51rQBgq9jmL.,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
5,To-te Jitsu,1,Master Pubns,BOOK,1997-01-01,http://www.amazon.com/gp/product/0920129226/ref=as,http://ecx.images-amazon.com/images/I/51nDkyVjkmL.,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
6,Karate Jutsu: The Original Teachings of Gichin Fun,1,Kodansha,BOOK,2001-01-01,http://www.amazon.com/gp/product/4770026811/ref=as,http://ecx.images-amazon.com/images/I/51pOhg%2BDiJ,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
7,Karate-Do Nyumon: The Master Introductory Text,1,Kodansha,BOOK,1994-01-01,http://www.amazon.com/gp/product/4770018916/ref=as,http://ecx.images-amazon.com/images/I/51VMqUHU4ML.,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
8,Karate My Life,2,Kendo World Publications,BOOK,2003-01-01,http://www.amazon.com/gp/product/4990169425/ref=as,http://ecx.images-amazon.com/images/I/512yd%2Bhwz5,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
9,Karate Fighting Techniques: The Complete Kumite,2,Kodansha,BOOK,2004-01-01,http://www.amazon.com/gp/product/1568365160/ref=as,http://i43.tower.com/images/mm101136713/karate-fig,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
10,Black Belt Karate: The Intensive Course,2,Kodansha,BOOK,2006-01-01,http://www.amazon.com/gp/product/4770027753/ref=as,http://ecx.images-amazon.com/images/I/51wyMzWwVBL.,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
11,Karate: The Complete Kata,2,Kodansha,BOOK,2010-01-01,http://www.amazon.com/gp/product/1568365179/ref=as,http://www.theshotokanway.com/images/images20/kana,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
12,Nunchaku: Dynamic Training,2,Dragon Assoc Inc,BOOK,1984-01-01,http://www.amazon.com/gp/product/0946062013/ref=as,http://ecx.images-amazon.com/images/I/61V%2B9ceWPb,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
13,Dynamic Power of Karate,2,Dragon Books,BOOK,1986-01-01,http://www.amazon.com/gp/product/0946062129/ref=as,http://www.skifworld.com/images/Dynamic_Power_Of_K,02/02/20 07:30 PM,02/02/20 07:30 PM,,http://www.amazon.com/gp/product/0804816689/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=0804816689&linkCode=as2&tag=shotolibra-20,http://ecx.images-amazon.com/images/I/61Z9oT%2BoaPL._SL1000_.jpg
14,Shotokan Karate International Kumite Kyohan,2,Ikeda Shoten Co,BOOK,1987-01-01,http://www.amazon.com/gp/product/426216201X/ref=as,http://ecx.images-amazon.com/images/I/51G8T3R686L.,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
15,Shotokan Karate International Kata (Volume 1),2,Ikeda Shoten Co,BOOK,1981-01-01,http://www.amazon.com/gp/product/B000EFZNQ2/ref=as,http://ecx.images-amazon.com/images/I/51965T2KEWL.,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
16,Shotokan Karate International Kata (Volume 2),2,Ikeda Shoten Co,BOOK,1982-01-01,http://www.amazon.com/gp/product/4262168522/ref=as,http://ecx.images-amazon.com/images/I/314GFbBwQ9L.,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
17,Mastering Karate,2,Rising Sun Productions,DVD,2005-01-01,http://www.amazon.com/gp/product/B0009VIHP0/ref=as,http://www.skifworld.com/images/masteringkarate.gi,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
18,Hirokazu Kanazawa Karate,2,N/A,DVD,2005-01-01,http://www.budovideos.com/shop/customer/product.ph,http://cache.budovideos.com/images/covers/10782.jp,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
19,Karate Legend,2,N/A,DVD,2008-01-01,http://www.budovideos.com/shop/customer/product.ph,http://cache.budovideos.com/images/covers/12880.jp,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
20,26 Shotokan Kata,2,N/A,DVD,2007-01-01,http://www.budovideos.com/shop/customer/product.ph,http://cache.budovideos.com/images/covers/12753.jp,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
21,Karate Breathing Technique,2,N/A,DVD,2004-01-01,http://www.budovideos.com/shop/customer/product.ph,http://cache.budovideos.com/images/covers/1789.jpg,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
22,Shotokan Karate Complete Guide (Step 1),2,N/A,DVD,2006-01-01,http://www.budovideos.com/shop/customer/product.ph,http://cache.budovideos.com/images/covers/880.jpg,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
23,Shotokan Karate Complete Guide (Step 2),2,N/A,DVD,2006-01-01,http://www.budovideos.com/shop/customer/product.ph,http://cache.budovideos.com/images/covers/885.jpg,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
24,Shotokan Karate Complete Guide (Step 3),2,N/A,DVD,2006-01-01,http://www.budovideos.com/shop/customer/product.ph,http://cache.budovideos.com/images/covers/11511.jp,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
25,"""Karate the Art of """"Empty-Hand"""" Fighting""",4,Tuttle Publishing,BOOK,1990-01-01,http://www.amazon.com/gp/product/0804816689/ref=as,http://ecx.images-amazon.com/images/I/61Z9oT%2BoaP,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
26,Perfection of Character: Guiding Principles for th,6,GMW Publishing,BOOK,2006-01-01,http://www.amazon.com/gp/product/0978576322/ref=as,http://ecx.images-amazon.com/images/I/41FvUAvmQCL.,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
27,The Textbook of Modern Karate,6,Kodansha,BOOK,1984-01-01,http://www.amazon.com/gp/product/0870114611/ref=as,http://ecx.images-amazon.com/images/I/51TL7pa0qiL.,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
28,Masterclass Shotokan,6,EM3 Video,DVD,2010-01-01,http://www.amazon.com/gp/product/B00BTSEK9E/ref=as,http://ecx.images-amazon.com/images/I/61Sj07xEXtL.,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
29,Shotokan Advanced Kata Volume 1,8,Dragon Books,BOOK,1983-01-01,http://www.amazon.com/Shotokan-Advanced-Kata-Vol-1,http://ecx.images-amazon.com/images/I/51M43bwG-GL.,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
30,Shotokan Advanced Kata Volume 2,8,Dragon Books,BOOK,1983-01-01,http://www.amazon.com/Shotokan-Advanced-Kata-v-2/d,http://ecx.images-amazon.com/images/I/51XgIfC7V%2B,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
31,Shotokan Advanced Kata Volume 3,8,Dragon Books,BOOK,1983-01-01,http://www.amazon.com/Shotokan-Advanced-Kata-Vol-3,http://ecx.images-amazon.com/images/I/51RGPAMHB8L.,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
32,The Nakayama Legacy,3,Kazusa Co,DVD,1996-01-01,,https://encrypted-tbn2.gstatic.com/images?q=tbn:AN,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
33,Shotokan Myths,22,Xlibris corporation,BOOK,2010-01-01,http://www.amazon.com/gp/product/1456807080/ref=as,http://ecx.images-amazon.com/images/I/41uwI-B0wKL.,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
34,Shotokan Mysteries,22,Xlibris corporation,BOOK,2013-01-01,http://www.amazon.com/gp/product/1483612384/ref=as,http://ecx.images-amazon.com/images/I/51w4dgUiCXL.,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
35,Kankudai Kata: Karate,2,Paul H. Crompton Ltd.,BOOK,1989-01-01,http://www.amazon.com/Kankudai-Kata-Karate-Hirokaz,http://ecx.images-amazon.com/images/I/217W8tVDsIL.,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
36,Lessons with the Master by Paul Walker,2,"iUniverse, Inc.",BOOK,2007-01-01,http://www.amazon.com/Lessons-Master-Shotokan-Hiro,"http://i.ebayimg.com/00/$T2eC16d,!)8E9s4l8iBEBRWK7",02/02/20 07:30 PM,02/02/20 07:30 PM,,,
37,"Kanazawa, 10th Dan: Recollections of a Living Lege",2,Shoto Publishing,BOOK,2001-01-01,http://www.amazon.com/Kanazawa-10th-Dan-Recollecti,http://www.shoto.org/sites/default/files/kanazawa1,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
38,Karate the Kawasoe Way: Beginner to Black Belt,15,Duke Video,DVD,2005-01-01,http://www.amazon.co.uk/Karate-Kawasoe-Way-DVD-Set,http://ecx.images-amazon.com/images/I/51XFWQTWPKL.,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
39,"Best Karate, Vol. 1: Comprehensive",3,Kodansha USA,BOOK,2012-01-01,http://www.amazon.com/Best-Karate-Vol-1-Masatoshi-,http://images.betterworldbooks.com/087/Best-Karate,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
40,"Best Karate, Vol. 2: Fundamentals",3,Kodansha USA,BOOK,2012-01-01,http://www.amazon.com/Best-Karate-Vol-2-Masatoshi-,http://images.betterworldbooks.com/087/Best-Karate,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
41,"Best Karate, Vol. 3: Kumite 1",3,Kodansha USA,BOOK,2013-01-01,http://www.amazon.com/Best-Karate-Vol-3-Kumite-1/d,http://images.betterworldbooks.com/087/Best-Karate,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
42,"Best Karate, Vol. 4: Kumite 2",3,Kodansha USA,BOOK,2012-01-01,http://www.amazon.com/Best-Karate-Vol-4-Kumite-2/d,http://images.betterworldbooks.com/087/Best-Karate,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
43,"Best Karate, Vol. 5: Heian, Tekki",3,Kodansha USA,BOOK,2012-01-01,http://www.amazon.com/Best-Karate-Vol-5-Heian-Tekk,http://images.betterworldbooks.com/087/Best-Karate,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
44,"Best Karate, Vol. 6: Bassai, Kanku",3,Kodansha USA,BOOK,2012-01-01,http://www.amazon.com/Best-Karate-Bassai-Kanku-Vol,http://images.betterworldbooks.com/087/Best-Karate,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
45,"Best Karate, Vol. 7: Jitte, Hangetsu, Empi",3,Kodansha USA,BOOK,2012-01-01,http://www.amazon.com/Best-Karate-Vol-7-Jutte-Hang,http://ecx.images-amazon.com/images/I/51qdpEj-ZvL.,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
46,"Best Karate, Vol. 8: Gankaku, Jion",3,Kodansha USA,BOOK,2012-01-01,http://www.amazon.com/Best-Karate-Vol-8-Gankaku-Ji,http://images.betterworldbooks.com/087/Best-Karate,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
47,"Best Karate, Vol. 9: Bassai Sho, Kanku Sho, Chinte",3,Kodansha USA,BOOK,2012-01-01,http://www.amazon.com/Best-Karate-Vol-9-Bassai-Chi,http://images.betterworldbooks.com/087/Best-Karate,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
48,"Best Karate, Vol. 10: Unsu, Sochin, Nijushiho",3,Kodansha USA,BOOK,1990-01-01,http://www.amazon.com/Best-Karate-Vol-10-Sochin-Ni,http://images.betterworldbooks.com/087/Best-Karate,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
49,"Best Karate, Vol. 11: Gojushiho Dai, Gojushiho Sho",3,Kodansha USA,BOOK,1990-01-01,http://www.amazon.com/Best-Karate-Vol-11-Gojushiho,http://images.betterworldbooks.com/087/Best-Karate,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
50,"Practical Karate Volumes 1-6 (Donn Draeger, co-aut",3,Military Book Club,BOOK,1994-01-01,http://www.amazon.com/Practical-Karate-Vols-1-6/dp,http://ecx.images-amazon.com/images/I/21YVTRPZN8L.,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
51,Dynamic Karate,3,Kodansha USA,BOOK,2012-01-01,http://www.amazon.com/Dynamic-Karate-Masatoshi-Nak,http://images.betterworldbooks.com/087/Dynamic-Kar,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
52,Chief Instructors of JKA,0,Japan Karate Association ,WEB,2014-01-08,http://www.jkaindia.org/_Final/JKAMasters.htm,,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
53,"""Evans, Jon. """"The Battle for Olympic Recognition: W""",0,<i>Black Belt Magazine</i,ARTICLE,1988-02-01,http://www.shotokai.com/ingles/interviews/wuko.htm,,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
