id,country_ISO_number,ISO,name,created_date,updated_date
1,840,AL,Alabama,02/02/20 07:15 PM,02/02/20 07:15 PM
2,840,AK,Alaska,02/02/20 07:15 PM,02/02/20 07:15 PM
3,840,AZ,Arizona,02/02/20 07:15 PM,02/02/20 07:15 PM
4,840,AR,Arkansas,02/02/20 07:15 PM,02/02/20 07:15 PM
5,840,CA,California,02/02/20 07:15 PM,02/02/20 07:15 PM
6,840,CO,Colorado,02/02/20 07:15 PM,02/02/20 07:15 PM
7,840,CT,Connecticut,02/02/20 07:15 PM,02/02/20 07:15 PM
8,840,DE,Delaware,02/02/20 07:15 PM,02/02/20 07:15 PM
9,840,FL,Florida,02/02/20 07:15 PM,02/02/20 07:15 PM
10,840,GA,Georgia,02/02/20 07:15 PM,02/02/20 07:15 PM
11,840,HI,Hawaii,02/02/20 07:15 PM,02/02/20 07:15 PM
12,840,ID,Idaho,02/02/20 07:15 PM,02/02/20 07:15 PM
13,840,IL,Illinois,02/02/20 07:15 PM,02/02/20 07:15 PM
14,840,IN,Indiana,02/02/20 07:15 PM,02/02/20 07:15 PM
15,840,IA,Iowa,02/02/20 07:15 PM,02/02/20 07:15 PM
16,840,KS,Kansas,02/02/20 07:15 PM,02/02/20 07:15 PM
17,840,KY,Kentucky,02/02/20 07:15 PM,02/02/20 07:15 PM
18,840,LA,Louisiana,02/02/20 07:15 PM,02/02/20 07:15 PM
19,840,ME,Maine,02/02/20 07:15 PM,02/02/20 07:15 PM
20,840,MD,Maryland,02/02/20 07:15 PM,02/02/20 07:15 PM
21,840,MA,Massachusetts,02/02/20 07:15 PM,02/02/20 07:15 PM
22,840,MI,Michigan,02/02/20 07:15 PM,02/02/20 07:15 PM
23,840,MN,Minnesota,02/02/20 07:15 PM,02/02/20 07:15 PM
24,840,MS,Mississippi,02/02/20 07:15 PM,02/02/20 07:15 PM
25,840,MO,Missouri,02/02/20 07:15 PM,02/02/20 07:15 PM
26,840,MT,Montana,02/02/20 07:15 PM,02/02/20 07:15 PM
27,840,NE,Nebraska,02/02/20 07:15 PM,02/02/20 07:15 PM
28,840,NV,Nevada,02/02/20 07:15 PM,02/02/20 07:15 PM
29,840,NH,New Hampshire,02/02/20 07:15 PM,02/02/20 07:15 PM
30,840,NJ,New Jersey,02/02/20 07:15 PM,02/02/20 07:15 PM
31,840,NM,New Mexico,02/02/20 07:15 PM,02/02/20 07:15 PM
32,840,NY,New York,02/02/20 07:15 PM,02/02/20 07:15 PM
33,840,NC,North Carolina,02/02/20 07:15 PM,02/02/20 07:15 PM
34,840,ND,North Dakota,02/02/20 07:15 PM,02/02/20 07:15 PM
35,840,OH,Ohio,02/02/20 07:15 PM,02/02/20 07:15 PM
36,840,OK,Oklahoma,02/02/20 07:15 PM,02/02/20 07:15 PM
37,840,OR,Oregon,02/02/20 07:15 PM,02/02/20 07:15 PM
38,840,PA,Pennsylvania,02/02/20 07:15 PM,02/02/20 07:15 PM
39,840,RI,Rhode Island,02/02/20 07:15 PM,02/02/20 07:15 PM
40,840,SC,South Carolina,02/02/20 07:15 PM,02/02/20 07:15 PM
41,840,SD,South Dakota,02/02/20 07:15 PM,02/02/20 07:15 PM
42,840,TN,Tennessee,02/02/20 07:15 PM,02/02/20 07:15 PM
43,840,TX,Texas,02/02/20 07:15 PM,02/02/20 07:15 PM
44,840,UT,Utah,02/02/20 07:15 PM,02/02/20 07:15 PM
45,840,VT,Vermont,02/02/20 07:15 PM,02/02/20 07:15 PM
46,840,VA,Virginia,02/02/20 07:15 PM,02/02/20 07:15 PM
47,840,WA,Washington,02/02/20 07:15 PM,02/02/20 07:15 PM
48,840,WV,West Virginia,02/02/20 07:15 PM,02/02/20 07:15 PM
49,840,WI,Wisconsin,02/02/20 07:15 PM,02/02/20 07:15 PM
